size	percent	tm	ts
10	10	11	4
10	20	3	4
10	30	3	3
10	40	2	3
10	50	3	4
10	60	3	3
10	70	2	2
10	80	3	3
10	90	2	3
25	10	21	4
25	20	4	2
25	30	5	4
25	40	6	3
25	50	6	5
25	60	4	4
25	70	4	4
25	80	5	6
25	90	4	5
50	10	14	4
50	20	9	5
50	30	13	4
50	40	10	4
50	50	8	9
50	60	14	9
50	70	11	8
50	80	14	10
50	90	9	16
75	10	18	4
75	20	18	6
75	30	29	14
75	40	26	11
75	50	49	10
75	60	19	17
75	70	18	25
75	80	35	18
75	90	17	20
100	10	54	4
100	20	57	9
100	30	31	11
100	40	50	18
100	50	34	13
100	60	30	19
100	70	31	22
100	80	30	40
100	90	29	34
250	10	182	8
250	20	244	25
250	30	177	49
250	40	261	47
250	50	219	69
250	60	189	95
250	70	178	200
250	80	179	181
250	90	201	200
500	10	849	18
500	20	880	53
500	30	1243	102
500	40	1168	172
500	50	839	285
500	60	845	370
500	70	841	492
500	80	1632	633
500	90	827
